prompt,score
"a beautiful stoya wearing a dress emerging from the water, oil on canvas, sensuality, artstation, by j. c. leyendecker and edmund blair leighton and charlie bowater, instagram photo",80.0
"a sexy gamer girl with cat ears and tattoos, by edgar maxence and caravaggio and michael whelan and delacroix style, artistic, intricate drawing, light brazen, realistic fantasy, extremely detailed and beautiful aesthetic face, establishing shot, 8 k resolution, dramatic lighting",80.0
low-poly polygonal the Bather by Bouguereau,80.0
"out of focus photorealistic portrait of a woman's pale fat belly by sarah moon, very blurry, translucent white skin, foggy, closeup!!!!",80.0
"young beautiful girl and man posing with eachother, no clothes in the dark studio, hard lightning flood on the female body, digital illustration by ruan jia on artstation",70.0
"a human female, by dorian cleavenger, greg rutkowski, wlop, astri lohne, zdzisław beksinski trending on artstation",70.0
"attractive girl , hourglass slim figure , juicy , anatomy , only two hands , full body shot close up , lying at the bed , pajamas , lying at stomach , face down , from behind , view from above , short hair , seductive smile , details, sharp focus , illustration , anime , by Jordan Grimmer and Greg Rutkowski , Trending artstation , pixiv , digital Art",70.0
"arthur pendragon shirtless flirting wit his knight. the knight is also flirting back. both of them are wearing pants, highly detailed painting by gaston bussiere, craig mullins, j. c. leyendecker",70.0
a hot handsome shirtless 2 0 years old man with abs and bisceps,70.0
"beautiful sexy siren, by cgsociety and stefan kostic and stanley lau and artgerm, full body, gorgeous, elegant, realistic",70.0
shirtless donald trump instagram photo shoot,70.0
sexy woman looks out of the window back,70.0
"girl rivals, belligerent tension, glare, skimpy clothing, 2 0 2 1",70.0
"pete davidson, vman magazine, fashion photography, shirtless",70.0
a hot shirtless 2 0 years old man with abs and bisceps,70.0
"a woman wearing an elaborate transforms into a butterfly, mid-transformation, half-woman half-butterfly, as though she is dancing, mid-transformation, fantasy illustration by William Adolphe Bouguereau, Gaston Bussiere, Rococo",70.0
male character art by william - adolphe bouguereau,70.0
the lower back of a beautiful woman. painting by milo manara and diego velazquez,70.0
"hyper realistic painting of the persephone, detailed and perfect face, perfect and proportional body, black skin, sensual, in the style of wayne barlowe, gustav moreau, goward, gaston bussiere and roberto ferri, santiago caruso, and austin osman spare, bouguereau, mucha, saturno butto, sorayama. occult art, alchemical diagram",70.0
"detailed portrait of a beautiful emma watsonmega booty, painting by gaston bussiere, craig mullins, j. c. leyendecker",70.0
"Sophia Lillis as a satyr full body portrait, seductive, sexy, intricate, digital painting, old english, whimsical background by marc simonetti, artwork by liam wong",70.0
seinfeld body paint human form detailed photography vector cutout zbrush,70.0
"woman with shiny skin lying on the grass dressed in roman clothes, ultra detailed, Guido Reni style",70.0
low-poly high-light edge edged polygonal the Bather by Bouguereau,70.0
"a woman posing, in a lakem wearing a bikini, backlit, photo by Marat Safin, Canon EOS R3, f/1.4, ISO 200, 1/160s, 8K, RAW, unedited, symmetrical balance, in-frame",70.0
"a photo of a dark - skinned greek god apollo with short curly hair and thin eyebrows, digital art by edward hopper, vibrant color scheme, highly detailed, in the style of romanticism, fine art, great lighting, 8 k resolution, clear eyes, soft lighting, soft details, painting oil on canvas, octane render, hdr, trending on artstation",60.0
Marc Dorcel in a orgy with Clara Morgan and octopussy,60.0
curvy woman on a horse painting by bouguereau full body,60.0
"lgbt art, tom of finland style, art in 4 k, high quality",60.0
"perky yael shelbia on bed. symmetry face, fine details, intricate, elegant, illustration, matte, art by wlop and artgerm and greg rutkowski and alphonse mucha and kidmo, raytracing, octane, unreal engine, trending on artstation",60.0
"Portrait of a sad looking beautiful teenage boy, around 21 yo, natural brown hair and smooth pale skin. Shirtless. Award winning photograph.",60.0
a hot shirtless 2 0 years old man with abs and bisceps cooking pancakes,60.0
"a golden sculpture of girl body with stunning blue dress in a dark jungle landscape, oil painting by rembrandt",60.0
The Bather by Bouguereau,60.0
low-poly art by Bouguereau rendered with redshift and octane render,60.0
"young woman by a river, playful, female, muscular, detailed face, thighs, gorgeous, amazing, muscular, intricate, highly detailed, painting by Gaston Bussiere, Craig Mullins",60.0
"annasophia robb as aphrodite, white cloth, long braided blond hair, intricate, highly detailed, digital painting, artstation, concept art, sharp focus, illustration, bouguereau, rutkowski, mucha",60.0
modern woman | muscular | hyperrealistic | action pose | digital painting | trending on artstation | pinup portrait | clean | illustration | dressed | unreal engine 5 | 8 k resolution | rubenesque | by greg rutkowski alphonse mucha gustav klimt and mel ramos,60.0
Artemisia Gentileschi painting of female body,60.0
"white trash girls, golden age, painting by gaston bussiere, craig mullins, j. c. leyendecker, tom of finland",60.0
"self portrait photography of a young woman in style of Francesca Woodman, soft light, volumetric lighting, highly detailed Realistic, Refined, Highly Detailed, natural outdoor soft pastel lighting colors scheme, outdoor fine art photography",60.0
"hyperrealist portrait in a river, full body green water algae by alphonse mucha and lucian freud and bouguereau, very detailed faces",60.0
out of focus!!!!!!!! closeup of a very pale woman's belly by jules joseph lefebvre and by nadav kander,60.0
"attractive clown girl , hourglass slim figure , juicy , anatomy , only two hands , full body shot close up , lying at the bed , face down , from behind , view from above , short hair , seductive smile , details, sharp focus , illustration , anime , by Jordan Grimmer and Greg Rutkowski , Trending artstation , pixiv , digital Art",50.0
"beautiful sexy woman photo, full body shot, torso, legs, perfect face,",50.0
"hyperrealism, women in white sheets, soft light, in style of classicism",50.0
"beautiful digital art of the girl in bikini, passion, renaissance, atmospheric dramatic lighting, pieter paul rubens, rutkovski, beksinski, ultra detailed, cinematic, masterpiece, behance contest winner, best of artstation",50.0
pre-Raphaelite male muscular athletic gamers playing games on laptops by Bouguereau,50.0
"hygge bedroom, rgb, thin, model, short black curly hair, round face, laced lingerie, amazing composition & dynamic posing, by franz xavier leyendecker, wlop! muted colors, highly detailed, fantasy art by craig mullins, thomas kinkade cfg _ scale 9",50.0
hot sexy girl,50.0
"an attractive woman, boudoir photoshoot",50.0
Seductive Smelly Adult Harry Potter with body hair,50.0
"painted portrait of a clothed shy modern wife blessed by god to grow immaculately attractive and perfect. blonde, gifted holy body! light effect. feminine, fertile, hyper detailed, intricate, elegant, fertility, concept art, digital painting, artstation, smooth, sharp focus, illustration, art by gaston bussiere and alphonse mucha",50.0
"sexy seductive little smile sophia vergara in nurse by agnes cecile enki bilal moebius, intricated details, lingerie, 3 / 4 back view, hair styled in a bun, bend over posture, full body portrait, extremely luminous bright design, pastel colours, drips, autumn lights",50.0
"photo portrait of a skinny girl body, no clothes, raised hands, white studio, white background, up light, black and white, highly detailed, cinematic, hyperrealism, dynamic lighting, octane render, ultra realistic, concept art, intricate details, photorealistic, 8 k, unreal engine",50.0
"two cute anime characters huggig, realistic face, detailed face, short miniskirt, lightly dressed, bikini, ultra detailed digital art, pantsu, hyper real, detailed, ultra detailed, ground up angle, full body shot, shimapan, wide angle, renaissance painting",50.0
instagram model putting huge pink pickle with veins in her mouth,50.0
"lee jin - eun emerging from pink bioluminescent wave in ivory cyberpunk theme by edward okun, rule of thirds, seductive look, beautiful",50.0
"a portrait of christina hendricks body by gustave courbet,",50.0
"beautiful girl posing with a man with no clothes in the dark studio, hard lightning flood on their body, digital illustration by ruan jia on artstation - w 1 0 8 8",50.0
shameless and ashamed. painting by diego velazquez and milo manara,50.0
woman in a bathtub. painting by fuchs ernst,50.0
"hyperdetailed portrait of a buxom princess, hyperdetailed background overgrown swamp, thick fog, dynamic pose, wet gown, glowing lights, rendered textured digital sculpture, artstation, smooth, in the style of norman rockwell and alphonse mucha and greg rutkowski",50.0
"Lower back of a beautiful woman, painted by Milo Manara",50.0
the lower back of a beautiful woman. painting by milo manara and arthur rackham,50.0
"worksafe. insanely detailed. instagram photo, kodak portra. by wlop, ilya kuvshinov, krenz cushart, greg rutkowski, pixiv. zbrush sculpt, octane, maya, houdini, vfx. close - up schoolgirl in thigh highs, from behind, posing. by ayami kojima. cinematic dramatic atmosphere, sharp focus, volumetric lighting.",50.0
"detailed portrait of ( ( iosif stalin ) ) in an underwear full body ( ( ( ( in panties ) ) ) ), hyperrelostic, 8 k tranding artstation, digital concept, diselpank art, sharp focus, caricature illustration, art by artgerm and greg rutkowskii",40.0
cruel and compassionate. painting by milo manara,40.0
"highly detailed photo portrait of athleric girl for the magazine cover, no clothes, white background, new york, by helmut newton, black and white, highly detailed, cinematic, dynamic lighting, film camera, twen magazine",40.0
"lgbt art, tom of finland style, joe biden, in billy herrington body, art in 4 k, high quality",40.0
"two cute college girls rolling hard on ecstasy and glistening with sweat and intertwined on the bed with dilated pupils, realistic portrait, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, cinematic lighting, art by artgerm and greg rutkowski and alphonse mucha",40.0
"kim kardashian as borat in borat, 8k resolution, full HD, cinematic lighting, award winning, anatomically correct",40.0
"Kiko Mizuhara full body laying in a blood red pool of water between a golden mirror frame, outside is space and inside the mirror frame is a beautiful landscape., physically accurate, dynamic lighting, intricate, elegant, highly detailed, digital painting, artstation, HR GIGER, very very Roberto Ferri, Hieronymus Bosch, Francis Bacon, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha",40.0
"hyperrealism, woman in white sheets, soft light, in style of classicism",40.0
"hygge bedroom, rgb, thin, model, short black curly hair, round face, laced lingerie, amazing lush composition & dynamic posing, by franz xavier leyendecker, wlop! muted colors, highly detailed, fantasy art by craig mullins, thomas kinkade cfg _ scale 9",40.0
"three beautiful college girls in a bed rolling on ecstasy covered in sweat and dilated pupils, highly detailed, digital painting, artstation, concept art, matte, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha",40.0
"1 6 k neon - monochrome 3 d of cgsociety : - nude gay shota - boy ( austin lock ) with clown - sexy makeup by nick knight ( him body : biomechanical sculpture, persian rug, mandelbulb 3 d fractal kawaii 3 d - shotacon style with him face : hyperrealistic human face, bdsm nude - pattern style by jonas akerlund and lee griggs",40.0
"jenna lynn meowri as a drunk stepmom, incredibly detailed face, true anatomy, centerfold, art by wlop",40.0
"a grungy woman with rainbow hair, drunk, angry, soft eyes and narrow chin, dainty figure, long hair straight down, short shorts, fishnet stockings, basic white background, sie boob, in the rain, wet, symmetrical, single person, style of by Jordan Grimmer and greg rutkowski, crisp lines and color,",40.0
"🍆🍆🍆💦💦💦, happy appearance, ioyful vibe and lighting, cgsociety, artstation, in the style of artgerm",40.0
"Dionysus laying on a bed with wine and grapes, in the Style of Artgerm and Charlie Bowater and Atey Ghailan and Mike Mignola, vibrant colors and hard shadows and strong rim light, Comic Cover Art, plain background, trending on artstation",40.0
the lower back of a beautiful woman. pencil drawing by milo manara and jean giraud.,40.0
"masterpiece painting of bathing women, by Jean-Auguste-Dominique Ingres, wide angle, minimalistic cinematic composition, octane render, bokeh, unreal engine, 4k, 3d render",40.0
"nymph, by Karel Thole, by Mandy Jurgens,",40.0
oil painting of a beautiful woman mourning the death of a monster by Guillaume Seignac,40.0
"a painting of a nymph 🌸🌸🌸 trending on artstation in the style of greg rutkowski, sensuality, fashion",40.0
"kim kardashian as borat in borat, 8k resolution, full HD, cinematic lighting, award winning, anatomically correct",40.0
"willow smith as young egyptian girl, full body, white loincloth, symetrical, grey background, intricate, sharp focus, illustration, orientalism, bouguereau, rutkowski, jurgens",40.0
"woman swimming in the lake, painting by gaston bussiere, craig mullins, j. c. leyendecker",40.0
"odalisque depiction of a beautiful alien femme biology, latex domme, extraterrestrial, sharp focus, by james gurney, by santiago calatrava, by zaha hadid, ornate portrait, high quality, watercolor",40.0
"a beautiful ayanami rei wearing a dress emerging from the water, oil on canvas, sensuality, artstation, by j. c. leyendecker and edmund blair leighton and charlie bowater, instagram photo",40.0
the lower back of an attractive woman with short white hair. pencil drawing by milo manara and mike mignola,40.0
"painting of a cyberpunk android by william bouguereau, fully clothed in futuristic armor, high resolution",40.0
low-poly 3d-model by Bouguereau rendered with redshift and octane render,40.0
"hyperdetailed sensual woman sunbathing during an intense hurricane, hdr, 4 k, miami vice aesthetic",30.0
"an extremely realistic life-sized blow-up doll made of porcelain, model sitting on a deep blue couch, from 1985, bathed in the glow of a television, low-light photograph",30.0
"man grabbing a womans waist, making love, photorealistic painting",30.0
woman in a bathtub painting by bouguereau,30.0
"handsome rugby players in a scrum painting by gaston bussiere, craig mullins, j. c. leyendecker, tom of finland",30.0
"soft greek sculpture of intertwined bodies painted by james jean in pastel colors. artwork by Tooth Wu and wlop and beeple and dan mumford and greg rutkowski and nekroxiii. halo. octane render, cinematic, hyper realism, octane render, 8k, depth of field, bokeh. iridescent accents. vibrant.",30.0
"photo portrait of a skinny girl body, no clothes, raised hands, white background, by helmut newton, up light, front light, black and white, highly detailed, cinematic, dynamic lighting",30.0
"gorgeous famous asian japanese girl dropping the shadow of her desires on the wall of empty house, melting merging bodies, beds of escape of loneliness, burgundy and maroon oil dripping, stockings, a light shining from a window creating dreams, style of James Jean, Edward Hopper, Francis Bacon, colors of Mark Rothko, Frank Auerbach, trending on artstation, Greg Rutkowski, dark atmosphere",30.0
"jake gyllenhaal underwear ad, Calvin Klein photography, photorealistic, athletic body build, intricate, full-body photography, trending on artstation, 4k, 8k",30.0
"photo shot of oiled up glossy 1 8 y. o. muscular genie with blue skin, posing in bed, morning sunlight, greek, dramatic, romantic, detailed, realistic, in style of j. c. leyendecker",30.0
"russian poet alexander pushkin and shrek lying in bed together, portrait, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, cinematic lighting, art by artgerm and greg rutkowski and alphonse mucha",30.0
"hyper realistic photo of a swedish playboy model, detailed and perfect face, perfect and proportional body",30.0
violet myers in bed,30.0
"thighs, artstation",30.0
"Army Man underwear ad, Calvin Klein photography, trending on artstation, studio lighting, clear atmosphere, vignette, grain effect, 4k, 8k",30.0
"sexy ana de armas, in the style of Sean Archer",30.0
"girl in pajama watching television, blue rays from monitor, redshift, wide shot, coloured polaroid photograph with flash, kodak film, hyper real, stunning moody cinematography, anamorphic lenses, by maripol, fallen angels by wong kar - wai, style of suspiria and neon demon and bahnhof zoo, david hockney, detailed, oil on canvas",30.0
"three beautiful college girls in a bed rolling on ecstasy covered in sweat and dilated pupils, highly detailed, digital painting, artstation, concept art, matte, sharp focus, illustration, art by artgerm and ross tran and thomas kincade",30.0
"bella thorne looking seductive, hyperrealistic full figure, bladerunner street alley, art of elysium by frank frazetta and by jeremy mann and by alphonse mucha, fantasy art, photo realistic, dynamic lighting, artstation, full figure poster, volumetric lighting, very detailed face, 4 k, award winning",30.0
"summer, attractive male, neon light, painting by gaston bussiere, craig mullins, j. c. leyendecker",30.0
"psycho anime woman with rainbow hair, artsy, cute,, soft eyes and narrow chin, dainty figure, long hair straight down, torn overalls, skimpy shorts, combat boots, fish net stockings, basic white background, side boob, in the rain, wet shirt, symmetrical, single person, style of by Jordan Grimmer and greg rutkowski, crisp lines and color,",30.0
"hyper realistic traditional japanese illustration of a woman in a blazer in the style of austin osman spare, wayne barlowe, gustav moreau, goward, gaston bussiere and roberto ferri, santiago caruso, bouguereau, klimt, saturno butto, sorayama. occult art, alchemical diagram",30.0
fully clothed Belle Delphine licking a carrot,30.0
"nidalee, from league of legends, next to a leopard, au naturel, hyper detailed, digital art, trending in artstation, cinematic lighting, studio quality, smooth render, unreal engine 5 rendered, octane rendered, art style by klimt and nixeu and ian sprigger and wlop and krenz cushart",30.0
"sculpture statue of Nicole Kidman by Jean-Baptiste Carpeaux and Luo Li Rong and Michael James Talbot, all body, standing athletic pose, perfect symmetrical face, psychedelic, bodypaint, colored, white marble, in full growth, elegant, realistic, 8K, female full-skin figure, hyperrealism, subsurface scattering, raytracing, rim light, Octane Render, Redshift, Zbrush",30.0
"olivia seen from behind, stargazing, 3 d animation, black hair, freckles, pale skin, photo by greg rutkowski, risque fashion, female beauty, intricate detail, elegance, sharp shapes, soft lighting, masterpiece",30.0
"Herb Ritts sepia-toned high-contrast photo of Christy Turlington emerging from a milk bath, vignette, grainy film, shallow depth of field",30.0
"modern woman | hyperrealistic | action pose | digital painting | trending on artstation | pinup portrait | clean | illustration | dressed | Unreal Engine 5 | 8k resolution | by Greg Rutkowski Gustav Klimt, J.W. Waterhouse and Mel Ramos",30.0
"willow smith as young egyptian girl, full body, white loincloth, symetrical, grey background, intricate, sharp focus, illustration, orientalism, bouguereau, jurgens",30.0
knowledge and ignorance. painting by fernand khnopff and milo manara,30.0
"draconic humanoid, pudica pose gesture, by renoir, in a white room, ultra - realistic and intricate, hdr 8 k",30.0
"Greek goddess posing for painter, sun light, trending on artstation, black hair, white coat",30.0
studys of women for various paintings by herbert james draper . sketch studies. white chalk. 1902.,30.0
"The collage depicts four bathers in a stream or river, with two men and two women. The bathers are shown in different positions, with one woman lying down and the other three standing. The collage has a very naturalistic style, with trademark use of bold colors and brushstrokes. The overall effect is one of a peaceful scene, with the bathers enjoying the refreshing water. Johnny Bravo by James Gurney, by Emma Geary mournful, manmade",30.0
